#	chr1	start1	end1	chr2	start2	end2	sign
612424	X	1456410	1456456	X	8461624	8461670	+
612429	X	1949439	1949509	X	58754491	58754561	+
612445	X	3408690	3408803	X	29431721	29431834	+
612453	X	3925800	3925858	X	63576964	63577022	+
612458	X	4502294	4502341	X	100342808	100342855	-
612475	X	5504394	5504479	X	83156568	83156653	-
612501	X	7595903	7595955	X	40339240	40339292	-
612502	X	7600147	7600208	X	52031196	52031257	+
612503	X	7620553	7620601	X	43783021	43783069	+
612509	X	8136130	8136179	X	61133764	61133813	+
612510	X	8136599	8136752	X	61134684	61134839	+
612511	X	8146986	8147071	X	61142606	61142691	+
612512	X	8155318	8155632	X	61145742	61146051	+
612513	X	8155775	8156036	X	61146177	61146429	+
612514	X	8161851	8162830	X	61162022	61162991	+
612515	X	8170302	8170585	X	61193700	61193979	+
612516	X	8172112	8172247	X	61195356	61195490	+
612517	X	8175952	8176249	X	61226298	61226603	+
612518	X	8177099	8177475	X	61227708	61228072	+
612519	X	8183483	8183683	X	61236831	61237025	+
612520	X	8183821	8184127	X	61237152	61237459	+
612521	X	8191104	8191221	X	61245010	61245127	+
612522	X	8200987	8201245	X	61249607	61249862	+
612523	X	8209346	8209614	X	61266127	61266398	+
612525	X	8219880	8219951	X	61378802	61378873	-
612526	X	8222112	8222193	X	61369885	61369967	-
612527	X	8224387	8224741	X	61364450	61364798	-
612528	X	8227063	8227131	X	61361281	61361349	-
612529	X	8234081	8234698	X	61351036	61351632	-
612530	X	8236567	8236743	X	61349415	61349591	-
612531	X	8242032	8242163	X	61329350	61329467	-
612532	X	8245610	8245874	X	61324858	61325116	-
612533	X	8253645	8253819	X	61317492	61317663	-
612534	X	8254784	8254857	X	61317037	61317110	-
612535	X	8256300	8256502	X	61312065	61312274	-
612536	X	8262471	8262650	X	61307813	61307995	-
612537	X	8265386	8265871	X	61405799	61406296	+
612539	X	8272013	8272806	X	61432104	61432875	+
612540	X	8374515	8374864	X	61494656	61495031	+
612541	X	8375166	8375822	X	61495675	61496324	+
612542	X	8377254	8377397	X	61497056	61497199	+
612543	X	8377490	8377957	X	61497248	61497719	+
612544	X	8378142	8378481	X	61498270	61498618	+
612545	X	8379008	8379065	X	61498697	61498754	+
612546	X	8387269	8387732	X	61513309	61513785	+
612547	X	8395510	8396085	X	61528847	61529417	+
612548	X	8396311	8396453	X	61530082	61530222	+
612549	X	8403133	8403258	X	61536636	61536759	-
612551	X	8427029	8427176	X	61546235	61546385	+
612552	X	8427755	8427863	X	61546921	61547024	+
612553	X	8432535	8432776	X	61547899	61548142	+
612554	X	8444396	8444570	X	61555521	61555690	+
612555	X	8444864	8445045	X	61556018	61556200	+
612556	X	8450400	8450842	X	61566260	61566714	+
612557	X	8459572	8459662	X	61568241	61568331	+
612558	X	8470321	8470785	X	61594234	61594695	-
612559	X	8486214	8486298	X	61638381	61638467	+
612560	X	8486306	8486406	X	61639478	61639578	+
612561	X	8486547	8486897	X	61639677	61640027	+
612562	X	8491689	8491852	X	61641530	61641693	+
612563	X	8497120	8497303	X	61660591	61660773	+
612564	X	8500938	8501147	X	61669458	61669665	+
612565	X	8501242	8501349	X	61669737	61669844	+
612566	X	8502728	8503072	X	61671964	61672312	+
612567	X	8503152	8503211	X	61672635	61672694	+
612568	X	8504871	8504932	X	61674817	61674878	+
612569	X	8512769	8513819	X	61686024	61687057	+
612571	X	8519154	8519260	X	61688858	61688967	+
612572	X	8522008	8522132	X	61699627	61699751	+
612573	X	8524421	8524596	X	61700548	61700725	+
612574	X	8530687	8530828	X	61727569	61727702	+
612575	X	8531128	8531400	X	61727929	61728205	+
612576	X	8544475	8544682	X	61761209	61761394	+
612577	X	8545182	8545439	X	61763154	61763408	+
612578	X	8546715	8546783	X	61771466	61771534	+
612579	X	8547835	8548306	X	61772494	61772971	+
612580	X	8550621	8550707	X	61774227	61774313	+
612581	X	8551746	8551877	X	61776040	61776165	+
612582	X	8563966	8564160	X	61838564	61838758	+
612583	X	8572572	8573616	X	61844740	61845739	+
612584	X	8576501	8577022	X	61854781	61855300	+
612585	X	8588964	8589157	X	61861151	61861347	+
612586	X	8589465	8589867	X	61861348	61861753	+
612587	X	8593893	8594166	X	61863139	61863417	+
612588	X	8596274	8596546	X	61864700	61864947	+
612589	X	8599707	8599844	X	61871246	61871381	-
612590	X	8603489	8604006	X	61873843	61874375	+
612591	X	8616135	8616559	X	61891900	61892303	+
612593	X	8617019	8617453	X	61893490	61893920	+
612594	X	8625472	8625548	X	61896749	61896824	+
612595	X	8625889	8626084	X	61897278	61897473	+
612596	X	8629672	8629838	X	61898408	61898575	+
612598	X	8640775	8640909	X	61902583	61902713	+
612599	X	8644897	8645032	X	61904295	61904429	+
612600	X	8648083	8648627	X	61906282	61906835	+
612601	X	8652692	8652736	X	61911450	61911494	+
612602	X	8654488	8654577	X	61912995	61913084	+
612603	X	8655721	8655859	X	61915984	61916113	+
612604	X	8656224	8656567	X	61916424	61916792	+
612605	X	8657173	8657242	X	61917308	61917376	+
612606	X	8663382	8663456	X	61923785	61923858	+
612607	X	8672137	8672329	X	61932188	61932380	+
612608	X	8685302	8685729	X	61934631	61935064	+
612609	X	8701806	8702022	X	61943411	61943622	+
612610	X	8702187	8702404	X	61944973	61945186	+
612611	X	8708959	8709113	X	61948295	61948448	+
612612	X	8711475	8711558	X	61951191	61951278	+
612613	X	8735730	8735855	X	61958343	61958468	+
612614	X	8743489	8743712	X	61970325	61970540	+
612615	X	8744402	8744501	X	61971604	61971703	+
612616	X	8761097	8761353	X	61982280	61982535	+
612617	X	8778506	8779140	X	61993492	61994109	+
612618	X	8780218	8780454	X	61995120	61995341	+
612619	X	8780714	8780874	X	61995599	61995769	+
612621	X	8809366	8809515	X	62017654	62017805	+
612622	X	8840046	8840271	X	62037095	62037315	+
612623	X	8844859	8844992	X	62037833	62037966	+
612624	X	8853144	8853388	X	62042865	62043105	+
612625	X	8864745	8864905	X	62052619	62052774	+
612626	X	8887488	8887743	X	62073875	62074143	+
612627	X	8887898	8888022	X	62074336	62074463	+
612628	X	8890983	8891151	X	62076472	62076653	+
612629	X	8923413	8923517	X	62098694	62098798	+
